種類,価格情報区分,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷上,川越,,3700000,,３ＬＤＫ,75,,,,,1984年,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,松江町,本川越,6,43000000,,３ＬＤＫ,70,,,,,2018年,ＲＣ,,,,,,商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,松江町,本川越,8,40000000,,３ＬＤＫ,75,,,,,2012年,ＲＣ,,,,,,商業,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,松江町,本川越,10,35000000,,４ＬＤＫ,75,,,,80,1998年,木造,,,北,公道,4,１種住居,60,160,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字的場,的場,12,12000000,,３ＬＤＫ,65,,,,,1996年,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字的場,,,9000000,,３ＬＤＫ,65,,,,,,,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,吉田新町,鶴ケ島,23,6000000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,１中住専,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,吉田新町,鶴ケ島,,7000000,,３ＬＤＫ,80,,,,,1983年,ＲＣ,,,,,,１中住専,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,3,23000000,,１ＬＤＫ,45,,,,,2009年,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,3,42000000,,３ＬＤＫ,85,,,,,2004年,ＳＲＣ,,,,,,商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,脇田本町,川越,5,33000000,,３ＬＤＫ,75,,,,,1999年,ＳＲＣ,,,,,,商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字安比奈新田,笠幡,16,6900000,,３ＬＤＫ,65,,,,,1994年,ＲＣ,,,,,,１種住居,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,伊勢原町,的場,16,20000000,,３ＬＤＫ,80,,,,,1994年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,改装済み,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,伊勢原町,鶴ケ島,,34000000,,４ＬＤＫ,210,,,,130,1995年,木造,,,南西,公道,6,２種住居,60,200,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,伊勢原町,鶴ケ島,,16000000,,４ＬＤＫ,105,,,,,1998年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,かわつる三芳野,鶴ケ島,,6000000,,３ＬＤＫ,75,,,,,1982年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字小堤,鶴ケ島,7,9300000,,３ＬＤＫ,70,,,,,1980年,,,,,,,２種住居,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字小堤,霞ケ関(埼玉),13,6800000,,２ＬＤＫ,70,,,,,1981年,ＳＲＣ,,,,,,,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂,新河岸,15,4800000,,２Ｋ,50,,,,45,1971年,木造,,,東,公道,4.1,１低住専,50,100,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,富士見町,川越,6,12000000,,２ＬＤＫ,60,,,,,1974年,ＲＣ,,,,,,近隣商業,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,富士見町,川越,6,12000000,,２ＬＤＫ,60,,,,,1974年,ＲＣ,,,,,,商業,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,37000000,,４ＬＤＫ,85,,,,,2009年,ＲＣ,,,,,,商業,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,29000000,,３ＬＤＫ,75,,,,,2009年,ＲＣ,,,,,,商業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,中台元町,川越,25,8900000,,４ＤＫ,75,,,,95,1988年,木造,,,南西,私道,4,準工業,60,200,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,中台元町,川越,,36000000,,３ＬＤＫ,120,,,,105,2020年,木造,,,北東,公道,,準工業,60,200,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,伊勢原町,霞ケ関(埼玉),22,19000000,,３ＬＤＫ,80,,,,,1994年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,上戸新町,霞ケ関(埼玉),10,29000000,,４ＬＤＫ,135,,,,100,2010年,木造,,,南西,公道,4.2,１低住専,50,100,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,かわつる三芳野,鶴ケ島,,9500000,,４ＬＤＫ,95,,,,,1982年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,かわつる三芳野,鶴ケ島,,7300000,,３ＬＤＫ,85,,,,,1982年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字小堤,鶴ケ島,9,5000000,,３ＬＤＫ,70,,,,,1980年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字小堤,霞ケ関(埼玉),20,20000000,,４ＬＤＫ,150,,,,115,1991年,木造,,,南東,公道,6,２低住専,50,100,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字小室,西川越,10,36000000,,３ＬＤＫ,165,,,,105,2014年,木造,,,,,,１低住専,50,80,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,砂新田,新河岸,20,22000000,,４ＬＤＫ,115,,,,100,2010年,木造,,,北東,公道,4,１低住専,50,100,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字寺尾,新河岸,10,33000000,,２ＬＤＫ,95,,,,95,2015年,木造,,,南,公道,5,１低住専,50,100,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,5,15000000,,４ＤＫ,70,,,,,1984年,ＳＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,5,33000000,,２ＬＤＫ＋Ｓ,70,,,,,2017年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,仲町,本川越,10,32000000,,２ＬＤＫ＋Ｓ,75,,,,,2007年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,富士見町,川越,12,18000000,,２ＬＤＫ,75,,,,,2000年,鉄骨造,,,,,,準住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,富士見町,川越,13,3000000,,１Ｒ,15,,,,,1988年,ＲＣ,,,,,,準住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,8000000,,３ＬＤＫ,85,,,,,1984年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,7800000,,３ＬＤＫ＋Ｓ,85,,,,,1983年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,7800000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,2300000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,3000000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南台,南大塚,5,40000000,,７ＬＤＫ,205,,,,290,1997年,鉄骨造,,,北西,公道,6,準住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,,31000000,,３ＬＤＫ,65,,,,,2019年,ＲＣ,,,,,,２中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,3,37000000,,３ＬＤＫ,75,,,,,2019年,ＲＣ,,,,,,２中住専,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南台,南大塚,5,43000000,,４ＬＤＫ,175,,,,260,1994年,,,,南東,公道,5.9,２種住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,3,18000000,,３ＬＤＫ,75,,,,,1997年,ＲＣ,,,,,,２中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,3,18000000,,３ＬＤＫ,75,,,,,1997年,ＲＣ,,,,,,２中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,3,6500000,,３ＬＤＫ,70,,,,,1979年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,3,37000000,,３ＬＤＫ,75,,,,,2019年,ＲＣ,,,,,,２中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,27000000,,３ＬＤＫ,65,,,,,2009年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,,,20000000,,３ＬＤＫ,65,,,,,2009年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,本川越,9,3800000,,１Ｒ,20,,,,,1991年,ＲＣ,,,,,,商業,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,かすみ野,笠幡,15,25000000,,５ＤＫ,220,,,,140,2008年,,,,,,,１低住専,60,100,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字安比奈新田,笠幡,20,20000000,,３ＬＤＫ,145,,,,115,2003年,木造,,,北東,公道,4.2,１低住専,60,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,石原町,川越市,20,32000000,,３ＬＤＫ,125,,,,100,2013年,木造,,,南西,公道,4,１種住居,60,160,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,石原町,川越市,20,34000000,,３ＬＤＫ,110,,,,115,2021年,木造,,,北,公道,5.2,１種住居,60,200,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,伊勢原町,霞ケ関(埼玉),20,29000000,,４ＬＤＫ,210,,,,110,1992年,木造,,,南西,公道,6,１低住専,50,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,伊勢原町,鶴ケ島,,22000000,,４ＬＤＫ＋Ｓ,200,,,,125,1994年,木造,,,北東,公道,6,１低住専,50,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,伊勢原町,霞ケ関(埼玉),20,35000000,,２ＬＤＫ,225,,,,170,1992年,軽量鉄骨造,,,南,公道,6,２低住専,50,100,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,かわつる三芳野,鶴ケ島,,13000000,,４ＬＤＫ,95,,,,,1982年,ＲＣ,,,,,,１中住専,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,志多町,本川越,19,21000000,,３ＬＤＫ,70,,,,,2009年,ＲＣ,,,,,,１種住居,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,末広町,川越市,15,24000000,,３ＬＤＫ,100,,,,90,1992年,木造,,,東,公道,4,１種住居,60,200,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂,新河岸,10,27000000,,４ＬＤＫ,105,,,,95,2013年,木造,,,西,公道,5,１低住専,50,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂,新河岸,15,13000000,,２ＬＤＫ,70,,,,60,1974年,木造,,,南,,4,１低住専,50,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂,新河岸,10,7000000,,４ＤＫ,105,,,,85,1981年,木造,,,南東,公道,4.2,１低住専,50,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂,新河岸,10,7500000,,４ＤＫ,135,,,,70,1971年,木造,,,南東,私道,2.7,１低住専,50,100,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,5,42000000,,３ＬＤＫ,70,,,,,2017年,ＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,5,36000000,,２ＬＤＫ,70,,,,,2001年,ＳＲＣ,,,,,,商業,,,2021年第3四半期,改装済み,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,7000000,,３ＬＤＫ＋Ｓ,85,,,,,1983年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,,,4900000,,３ＬＤＫ,75,,,,,,,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,6200000,,３ＬＤＫ,70,,,,,1983年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,12000000,,３ＬＤＫ,75,,,,,1984年,ＲＣ,,,,,,,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,6,15000000,,２ＬＤＫ,55,,,,,1991年,ＲＣ,,,,,,２種住居,,,2021年第3四半期,改装済み,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,24000000,,２ＬＤＫ,55,,,,,2009年,ＲＣ,,,,,,商業,,,2021年第3四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,連雀町,本川越,,6900000,,１Ｒ,20,,,,,1991年,ＲＣ,,,,,,,,,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,かすみ野,笠幡,20,20000000,,４ＬＤＫ,130,,,,100,2016年,木造,,,東,公道,8,１低住専,60,100,2021年第3四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,石原町,川越市,20,33000000,,４ＬＤＫ,150,,,,110,2016年,木造,,,,公道,,近隣商業,80,200,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,石原町,本川越,25,10000000,,６ＬＤＫ,115,,,,90,1985年,木造,,,南西,公道,4,１低住専,50,80,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,石原町,川越市,17,13000000,,３ＬＤＫ,60,,,,,1993年,ＲＣ,,,,,,１種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,伊勢原町,霞ケ関(埼玉),20,45000000,,３ＬＤＫ＋Ｓ,285,,,,235,1996年,軽量鉄骨造,,,北東,公道,6,１低住専,60,100,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,霞ケ関東,霞ケ関(埼玉),15,27000000,,４ＬＤＫ,170,,,,130,1999年,木造,,,南西,公道,6,１低住専,60,100,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,かわつる三芳野,鶴ケ島,,5500000,,４ＬＤＫ,90,,,,,1982年,ＲＣ,,,,,,１中住専,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,かわつる三芳野,鶴ケ島,,8900000,,４ＬＤＫ＋Ｓ,100,,,,,1982年,ＲＣ,,,,,,１中住専,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,志多町,本川越,19,17000000,,３ＬＤＫ,60,,,,,1996年,ＲＣ,,,,,,１種住居,,,2021年第4四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,清水町,上福岡,15,5800000,,３ＤＫ,75,,,,70,1969年,木造,,,北西,公道,6,１中住専,60,200,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,4,32000000,,１ＬＤＫ,55,,,,,,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,5,37000000,,３ＬＤＫ,65,,,,,2017年,ＲＣ,,,,,,商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,通町,本川越,5,35000000,,２ＬＤＫ,60,,,,,2017年,ＲＣ,,,,,,商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,富士見町,川越,7,8800000,,１ＬＤＫ,55,,,,,1979年,ＲＣ,,,,,,近隣商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,富士見町,川越,8,33000000,,３ＬＤＫ,70,,,,,2005年,ＲＣ,,,,,,２種住居,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,川越,,6300000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字古谷本郷,南古谷,,6500000,,３ＬＤＫ,75,,,,,1983年,ＲＣ,,,,,,,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,1,12000000,,１ＬＤＫ,50,,,,,1984年,ＳＲＣ,,,,,,商業,,,2021年第4四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,南台,南大塚,3,19000000,,３ＬＤＫ＋Ｓ,75,,,,,1997年,ＲＣ,,,,,,２中住専,,,2021年第4四半期,,
